iter	Passed	Remaining
684	3907	1796
685	3912	1790
686	3916	1784
687	3923	1779
688	3927	1772
689	3932	1766
690	3938	1761
691	3943	1755
692	3947	1748
693	3955	1743
694	3959	1737
695	3963	1731
696	3973	1727
697	3979	1721
698	3988	1717
699	3993	1711
700	3997	1705
701	4006	1700
702	4011	1694
703	4017	1689
704	4023	1683
705	4028	1677
706	4036	1672
707	4042	1667
708	4049	1662
709	4055	1656
710	4060	1650
711	4069	1645
712	4074	1639
713	4080	1634
714	4087	1629
715	4096	1624
716	4103	1619
717	4109	1614
718	4119	1610
719	4127	1605
720	4135	1600
721	4141	1594
722	4150	1590
723	4157	1584
724	4166	1580
725	4174	1575
726	4182	1570
727	4189	1565
728	4200	1561
729	4205	1555
730	4212	1550
731	4220	1545
732	4232	1541
733	4238	1535
734	4248	1531
735	4255	1526
736	4263	1521
737	4269	1515
738	4276	1510
739	4284	1505
740	4290	1499
741	4298	1494
742	4303	1488
743	4311	1483
744	4318	1478
745	4329	1474
746	4336	1468
747	4346	1464
748	4353	1458
749	4362	1454
750	4367	1448
751	4377	1443
752	4384	1438
753	4393	1433
754	4400	1427
755	4406	1422
756	4413	1416
757	4419	1411
758	4428	1406
759	4435	1400
760	4443	1395
761	4450	1390
762	4459	1385
763	4466	1379
764	4472	1373
765	4478	1368
766	4484	1362
767	4492	1357
768	4497	1350
769	4505	1345
770	4511	1340
771	4517	1334
772	4526	1329
773	4532	1323
774	4540	1318
775	4546	1312
776	4555	1307
777	4561	1301
778	4568	1296
779	4575	1290
780	4580	1284
781	4589	1279
782	4594	1273
783	4604	1268
784	4609	1262
785	4619	1257
786	4628	1252
787	4638	1248
788	4645	1242
789	4655	1237
790	4661	1231
791	4670	1226
792	4675	1220
793	4685	1215
794	4691	1209
795	4699	1204
796	4706	1198
797	4717	1194
798	4723	1188
799	4728	1182
800	4735	1176
801	4741	1170
802	4747	1164
803	4754	1158
804	4759	1152
805	4767	1147
806	4772	1141
807	4778	1135
808	4786	1130
809	4792	1124
810	4802	1119
811	4809	1113
812	4819	1108
813	4829	1103
814	4838	1098
815	4845	1092
816	4853	1087
817	4859	1081
818	4870	1076
819	4884	1072
820	4891	1066
821	4899	1060
822	4905	1054
823	4913	1049
824	4921	1044
825	4944	1041
826	4971	1039
827	4998	1038
828	5022	1036
829	5043	1033
830	5056	1028
831	5066	1023
832	5079	1018
833	5102	1015
834	5113	1010
835	5130	1006
836	5141	1001
837	5147	995
838	5158	989
839	5166	984
840	5175	978
841	5181	972
842	5189	966
843	5195	960
844	5203	954
845	5210	948
846	5219	942
847	5226	936
848	5231	930
849	5240	924
850	5246	918
851	5255	913
852	5261	906
853	5269	900
854	5275	894
855	5283	888
856	5291	882
857	5299	877
858	5304	870
859	5309	864
860	5314	858
861	5321	851
862	5328	845
863	5339	840
864	5358	836
865	5366	830
866	5372	824
867	5381	818
868	5388	812
869	5402	807
870	5412	801
871	5421	795
872	5430	790
873	5442	784
874	5451	778
875	5462	773
876	5470	767
877	5481	761
878	5488	755
879	5499	749
880	5506	743
881	5516	738
882	5525	732
883	5532	726
884	5537	719
885	5546	713
886	5556	707
887	5564	701
888	5573	695
889	5580	689
890	5588	683
891	5596	677
892	5604	671
893	5612	665
894	5622	659
895	5630	653
896	5640	647
897	5646	641
898	5658	635
899	5667	629
900	5675	623
901	5684	617
902	5690	611
903	5702	605
904	5710	599
905	5720	593
906	5727	587
907	5737	581
908	5746	575
909	5755	569
910	5763	563
911	5771	556
912	5780	550
913	5788	544
914	5796	538
915	5805	532
916	5811	526
917	5822	520
918	5830	513
919	5840	507
920	5848	501
921	5856	495
922	5867	489
923	5875	483
924	5885	477
925	5894	471
926	5901	464
927	5909	458
928	5918	452
929	5927	446
930	5936	440
931	5943	433
932	5961	428
933	5975	422
934	5989	416
935	6006	410
936	6016	404
937	6022	398
938	6032	391
939	6041	385
940	6049	379
941	6057	372
942	6065	366
943	6076	360
944	6085	354
945	6094	347
946	6102	341
947	6119	335
948	6128	329
949	6137	323
950	6145	316
951	6152	310
952	6161	303
953	6167	297
954	6173	290
955	6183	284
956	6190	278
957	6197	271
958	6202	265
959	6210	258
960	6218	252
961	6227	245
962	6234	239
963	6245	233
964	6255	226
965	6261	220
966	6267	213
967	6274	207
968	6279	200
969	6283	194
970	6290	187
971	6295	181
972	6299	174
973	6306	168
974	6311	161
975	6315	155
976	6322	148
977	6327	142
978	6332	135
979	6339	129
980	6344	122
981	6348	116
982	6354	109
983	6359	103
984	6363	96
985	6370	90
986	6374	83
987	6379	77
988	6386	71
989	6391	64
990	6395	58
991	6402	51
992	6408	45
993	6414	38
994	6420	32
995	6428	25
996	6435	19
997	6443	12
998	6453	6
999	6461	0
